burn,chamber_RH,Reference_CO,Reference_NO2,kunak_1_CO_ppm,kunak_2_CO_ppm,kunak_1_NO2_ppb,kunak_2_NO2_ppb
1,30,2.3149475933,14.56312,,,,
2,28,2.4180052639,26.651476667,,,,
3,23,2.3277645722,30.395668333,,,,
4,29,1.4011988272,13.339008333,,,,
5,29,3.4840211467,29.59126,,3.5993141667,,13.981666667
6,28,1.3438830244,25.462118333,,,,
7,35,1.1527406671,12.68635,,1.2783131818,,
8,38,2.8181154417,35.957055,,3.0593286957,,23.03
9,39,5.9194511489,36.983336667,5.4489946296,6.4016381481,18.595740741,16.583333333
10,34,1.0873455129,14.871105,0.8952594444,1.1289325926,15.50962963,11.704074074
11,33,3.8953871767,48.070628333,3.2981025926,3.9932964815,36.43962963,33.428333333
12,32,2.5528049322,33.77588,2.1844907407,2.7145342593,25.602222222,22.487592593
13,40,0.78284893,11.059348333,0.6719555556,0.8320518519,13.139259259,9.4633333333
14,46,3.0809457417,29.230936667,2.7676411321,3.3616624074,22.213207547,19.75037037
15,52,0.9519874867,11.898928333,0.8887267857,1.0817225,14.033392857,10.419107143
16,53,3.5931375483,36.042346667,3.2736825,3.9752285714,28.204821429,25.081964286
17,53,3.1761523578,38.306711667,2.72462375,3.3500726786,26.480892857,23.353035714
18,39,2.5944673528,25.86883,2.3256353571,2.8443369643,20.950714286,17.168392857
19,35,2.0005632183,18.369535,1.7797398214,2.1973685714,11.9375,7.8578571429
20,39,4.8271400989,26.403221667,4.0806260714,4.9802351786,9.4192857143,5.7664285714
21,34,0.6866734603,7.47732,0.64686625,0.8053523214,11.932678571,8.1380357143
22,38,1.6070208917,23.6209,1.4248567857,1.7608467857,23.766964286,20.536964286
23,43,2.6456958267,32.060158333,2.2513646429,2.7524710714,26.346607143,23.767678571
24,35,2.2715294156,18.48787,1.9979891071,2.4464096429,18.761607143,15.004642857
25,29,1.510350475,26.182166667,1.2939055357,1.6021896429,21.559821429,18.134107143
26,23,2.101517295,33.866578333,1.8830650909,2.32128875,27.024545455,23.288392857
27,30,1.4281666328,19.167213333,1.2079610714,1.4906814286,17.560357143,14.704821429
28,25,4.5235387722,37.760161667,3.9604583929,4.8787885714,18.580178571,15.321785714
29,21,2.2087361206,27.652138333,1.81310125,2.2535598214,18.087678571,15.066785714
30,32,2.6222124167,27.47595,2.3443559259,2.894255,19.423703704,17.593035714
31,30,6.8060891783,34.667038333,5.9164598214,7.1843207143,,
