burn,chamber_RH,Reference_CO,Reference_NO2,kunak_A14_1_CO,kunak_A14_2_CO,kunak_A14_1_NO2,kunak_A14_2_NO2,kunak_A14_1_CO_lin,kunak_A14_2_CO_lin,kunak_A14_1_NO2_lin,kunak_A14_2_NO2_lin,kunak_A3_1_CO,kunak_A3_2_CO,kunak_A3_1_NO2,kunak_A3_2_NO2,kunak_A3_1_CO_linftz,kunak_A3_2_CO_linftz,kunak_A3_1_NO2_quad,kunak_A3_2_NO2_quad
1,21.95,0.5848647386,10.190769333,0.7634077778,0.6946058333,10.639722222,5.2038888889,0.7540559696,0.6040985487,18.407318239,11.846264483,0.64,0.6266666667,6.3333333333,4.7875,0.7121088,0.6947916,11.092397891,13.772842877
2,18.05,1.3782778833,24.491295,1.4204041667,1.4383644444,20.177777778,13.37,1.551597026,1.3987748743,28.452989111,22.3087677,1.3416666667,1.3241666667,16.448333333,13.715833333,1.49283225,1.468116825,24.140711554,25.957212598
3,25.6,0.3754554923,6.7876501667,0.5551769444,0.4394183333,5.9094444444,2.7155555556,0.5012803964,0.3314409124,13.425295078,8.6581869333,0.4291666667,0.4241666667,4.2841666667,3.0733333333,0.477520875,0.470277825,8.0482327837,10.9949612
4,15.15,1.871077831,24.663058333,1.9526885714,1.9567710714,16.436785714,11.690892857,2.1977477106,1.952671619,24.51290145,20.157478837,1.7315254237,1.7044827586,14.958474576,11.883793103,1.9266163932,1.8897770793,22.425395371,23.769604683
5,13.85,3.9227965122,31.870647,3.7747619643,3.9087896429,23.78375,18.548928571,4.4095990437,4.0383253818,32.250871175,28.944062775,3.6644827586,3.6011864407,20.432586207,16.90779661,4.077360031,3.9926714186,28.377245401,29.383147377
6,13.5,1.2083452351,17.242883333,1.2276582143,1.3551246429,13.947321429,9.2894642857,1.3176188595,1.3098364759,21.890947875,17.080744538,1.1151724138,1.1270689655,8.4932758621,5.7287931034,1.2408188897,1.2495926328,14.154962416,15.238156924
7,22.1,0.7444481253,6.654745,0.7448717857,0.7484594643,9.4360714286,5.74875,0.7315547581,0.6616389992,17.13960915,12.544345988,0.6884482759,0.7051724138,3.5627586207,1.5268965517,0.7660157431,0.7818317069,6.9444022675,8.3676701052
8,20.6,0.3131409003,16.4085725,0.37046875,0.3384414286,13.560178571,11.007678571,0.277059425,0.2235511288,21.483201275,19.282137863,0.2894915254,0.3098275862,10.471016949,8.7334482759,0.3221085356,0.3435089431,16.827620794,19.630476673
9,18.9,3.2788344239,28.187966333,2.7257685714,2.9978498214,19.314107143,16.53125,3.1362049842,3.0650226202,27.543353925,26.358992813,3.1103389831,3.0279661017,18.586101695,15.089830508,3.4607808763,3.3571362966,26.47730492,27.491975884
10,22.05,1.1737805782,7.3363221667,1.1219096429,1.1721835714,7.5541071429,3.8980357143,1.1892485537,1.1143712587,15.157486725,10.173192337,1.0593220339,1.0698275862,1.3355932203,0.1255172414,1.1786758475,1.1861285431,3.4310254197,5.8875076973
11,22.5,3.3419724672,39.268825333,2.8324782143,3.1517080357,33.010535714,30.900892857,3.2657419539,3.2294139678,41.968706425,44.769522938,3.0686206897,3.0763793103,36.32137931,32.381034483,3.4143621828,3.4108125052,40.195584683,39.047231618
12,23.9,1.179073255,15.927744333,1.1030282143,1.2302230357,13.2725,11.419642857,1.1663280099,1.1763841047,21.18021245,19.809950625,1.0543103448,1.0718965517,11.056551724,8.1587931034,1.1730994914,1.1884224259,17.594764347,18.823995105
13,24.0,2.5647431678,28.148066167,2.1792617857,2.4557914286,22.759642857,21.343392857,2.4727894669,2.4858549098,31.17226105,32.524358363,2.3455172414,2.375,23.243793103,19.711206897,2.609786669,2.63318625,31.05932617,31.987977078
14,27.7,0.9762868872,10.208358333,0.8942539286,0.9508273214,10.62875,8.2021428571,0.912892729,0.8778609599,18.395762075,15.68765745,0.8649152542,0.8853448276,9.8883050847,7.8356896552,0.9623652559,0.9815906638,16.05323111,18.363572239
15,27.95,4.2487399339,34.156290833,3.4153455357,3.8280228571,24.599821429,24.810714286,3.9732962527,3.9520293019,33.110373925,36.96672525,3.8417241379,3.9194827586,29.446896552,25.895,4.2745711966,4.3455697293,36.078519286,36.397653054
16,23.05,1.4340342917,25.487455333,1.2187407143,1.3868635714,17.9025,16.901785714,1.3067937279,1.3437482515,26.05662105,26.833726875,1.2305084746,1.280862069,19.97220339,17.113793103,1.3691498644,1.4201045845,27.913793921,29.587415436
17,22.6,2.1067408689,10.690385833,1.8132671429,2.0016691071,6.58875,5.0480357143,2.0285012501,2.0006433742,14.140753275,11.646583837,1.9548275862,1.9532758621,6.0662068966,3.1534482759,2.1750780103,2.165616481,10.703218124,11.127938222
18,19.85,2.1136980494,18.767878167,1.90846125,2.1966796429,11.807857143,10.792857143,2.1440592806,2.2090043312,19.6376213,19.0069065,1.8374576271,1.860862069,11.623050847,7.7348275862,2.044483978,2.0631563845,18.326475753,18.218815602
19,19.6,2.8652070056,34.281427667,2.3493257143,2.6960007143,22.630535714,23.443214286,2.6792334711,2.7425089232,31.036282825,35.214670575,2.5748275862,2.6062068966,25.870517241,21.3,2.8649334103,2.8895276483,33.335751736,33.296461175
20,24.15,1.7803274517,13.988088667,1.5463375,1.7496128571,8.0342857143,8.1307142857,1.704470018,1.7313313533,15.6632204,15.59614245,1.599137931,1.5733898305,9.1362068966,4.7449152542,1.7793128017,1.744433039,15.037596938,13.705543784
21,20.1,1.8896434894,31.969775,1.6405528571,1.8561171429,17.782321429,19.668392857,1.8188399243,1.8451269225,25.930046575,30.378331613,1.6349152542,1.6311864407,24.433389831,19.089491525,1.8191211559,1.8085127186,32.117764553,31.442910366
22,17.0,3.1962372483,37.325241333,2.7001692857,3.13354125,21.643214286,24.092321429,3.1051294993,3.210003484,29.99641615,36.046313138,2.8527586207,2.839137931,29.746551724,23.602931034,3.1741789345,3.1477806155,36.2896551,34.977623092
23,19.05,2.9791319478,32.773089167,2.5591632143,3.00445125,10.699821429,14.637678571,2.9339594091,3.0720759826,18.470615925,23.932930163,2.5762068966,2.5676271186,18.335517241,11.818983051,2.8664681276,2.8467538627,26.211017545,23.689260612
24,22.0,1.1968214022,9.4568613333,1.1807383929,1.3329735714,1.1292857143,1.1173214286,1.2606619499,1.2861689421,8.3907363,6.6105133875,1.0344827586,1.0587931034,2.2379310345,0.2679310345,1.151037931,1.1738945017,4.8736922065,6.1438621924
25,18.65,2.2984236844,25.302855667,2.0244158929,2.39941,11.935357143,14.60875,2.2848189407,2.4256136086,19.77190685,23.895866588,1.9470689655,1.9763793103,19.772586207,14.316724138,2.1664452259,2.1912315052,27.710728066,26.639579685
26,15.45,0.9683220683,14.939122167,0.8953342857,1.0568360714,4.1578571429,5.2789285714,0.9142041961,0.9911270689,11.5804883,11.942406075,0.8005084746,0.8382758621,5.3305084746,0.9025862069,0.8907017644,0.929404831,9.6195087063,7.2744282015
27,19.8,0.596574657,7.8221446667,0.6115228571,0.66769625,2.2357142857,2.3782142857,0.5696798267,0.5753467353,9.556049,8.225981925,0.520862069,0.5389655172,2.5072413793,0.0272413793,0.5795475983,0.5975564586,5.2991953392,5.7100358058
28,18.0,1.1543360693,22.974984167,1.0443126786,1.196132,9.7391071429,12.246,1.0950520468,1.1399591967,17.458772425,20.86868766,0.9717241379,0.9960344828,15.530517241,9.8874137931,1.0812082966,1.1043133914,23.092445165,21.202016472
29,16.8,1.5902843722,26.046235167,1.3814442857,1.6040396429,8.765,12.509642857,1.5043028473,1.5757921968,16.4328233,21.206469525,1.3344827586,1.3588135593,13.948965517,7.3415254237,1.484838931,1.5065301814,21.222554265,17.64967816
30,15.4,1.713295485,29.270566667,1.5471071429,1.8158321429,12.135535714,16.814285714,1.7054043029,1.8020840114,19.982738925,26.721621,1.4286440678,1.4581355932,18.65440678,11.732372881,1.5896093949,1.6166495136,26.549540165,23.581575968
31,23.5,0.5338175047,6.7172498333,0.5337196429,0.5695617857,6.1314285714,5.6826785714,0.4752329489,0.4704939856,13.6590932,12.459694613,0.4629310345,0.4851724138,6.0806896552,2.5294827586,0.5150894741,0.5379155069,10.724377058,10.084104595
32,24.9,2.0105749461,16.472992167,1.7082608929,1.95914875,2.5125,5.6244642857,1.9010320631,1.9552120734,9.84756525,12.385109888,1.7517241379,1.7966101695,7.5170689655,2.4184745763,1.9490908966,1.991919661,12.789385162,9.896437232
33,27.05,3.2515565333,23.693027833,2.8220494643,3.3829357143,4.0041071429,10.486785714,3.2530822857,3.4764714933,11.418555725,18.614764725,2.7798275862,2.8069491525,15.600172414,9.3376271186,3.0930307603,3.1120925949,23.172950333,20.461269569
34,33.0,1.2213835472,15.543822667,1.22884625,1.4373966071,1.9753571429,5.5916071429,1.3190610398,1.3977407789,9.28183565,12.343012988,1.1284745763,1.139137931,12.25,7.7682758621,1.2556198068,1.2629736155,19.124237188,18.266874577
35,32.55,0.634244801,5.004772,0.6290326786,0.7074480357,1.6057142857,0.6271428571,0.5909353492,0.6178199282,8.8925204,5.9824917,0.5472881356,0.5761016949,4.3781355932,1.2391525424,0.6089510898,0.6387297102,8.190783329,7.8661242744
36,27.45,0.5431469798,9.8379363333,0.5119505357,0.555405,2.8564285714,2.3523214286,0.4488069943,0.4553680263,10.2097977,8.1928077375,0.4401694915,0.4708474576,6.716779661,3.4383050847,0.4897633881,0.5220332847,11.647034908,11.598252091
37,26.75,0.5407317308,12.936310667,0.4990571429,0.5293860714,6.1758928571,6.425,0.4331554469,0.4275678419,13.705923875,13.41076425,0.4349152542,0.4661016949,9.8445762712,6.6274576271,0.4839171559,0.5167716102,15.994677686,16.597358804
38,29.2,1.1797004545,14.291600333,1.0337289286,1.1765119643,6.16625,7.6676785714,1.082204221,1.1189959734,13.695767825,15.002896462,1.0018965517,1.0346551724,10.241896552,6.0401724138,1.1147802362,1.1471325362,16.524435802,15.71350472
39,32.6,0.5173308687,3.090508,0.8294523214,0.8838789286,1.0580357143,0.3582142857,0.834228762,0.80632928,8.315694375,5.637937725,0.5072413793,0.4989655172,4.1505172414,1.5274137931,0.5643922655,0.5532080586,7.8449979691,8.3685680868
40,32.45,1.2507064067,10.628983333,1.3598533929,1.6545601786,4.2098214286,5.0017857143,1.4780932307,1.6297713684,11.635218125,11.587327875,1.0861016949,1.1028813559,8.1225423729,4.0796610169,1.2084727729,1.2227755881,13.63996683,12.642883931
