scenario_id,scenario_family,platform,n_collocation,n_target,rho_true,truth_systematic,fit_systematic,error_scale,error_structure,latent_distribution,transport_shift,purpose,reps,point_mean,point_bias,point_rmse,proxy_mean,proxy_bias,proxy_rmse,stabilization_rate,raw_infeasible_rate,point_failure_rate,inference_failure_rate,wald_coverage,wald_avg_length,wald_finite_rate,jel_coverage,jel_avg_length,jel_finite_rate,ajel_coverage,ajel_avg_length,ajel_finite_rate,bc_jel_coverage,bc_jel_avg_length,bc_jel_finite_rate,bc_ajel_coverage,bc_ajel_avg_length,bc_ajel_finite_rate
R01,rho_grid,A10,50,100,0,u_add,u_add,1,full_epa,normal,none,Null correlation,1000,-0.00466104831131084,-0.00466104831131084,0.120683073703668,-0.0163474465929182,-0.0163474465929182,0.107136740430795,0,0,0,0,0.942,0.475129780201506,1,0.947,0.494140347787212,1,0.951,0.502804296787124,1,0.949,0.505725018107599,1,0.947,0.50603629154294,1
R02,rho_grid,A10,50,100,0.3,u_add,u_add,1,full_epa,normal,none,Weak positive correlation,1000,0.300869873772525,0.000869873772525242,0.110803248129966,0.252866763855702,-0.0471332361442984,0.107621387591478,0,0,0,0,0.937,0.44257594574284,1,0.94,0.459271205033206,1,0.944,0.467325343634539,1,0.946,0.471238496526291,1,0.939,0.470075399034847,1
R03,rho_grid,A10,50,100,0.5,u_add,u_add,1,full_epa,normal,none,Moderate correlation,1000,0.497803279832746,-0.00219672016725393,0.102386925394063,0.426499338738806,-0.0735006612611937,0.115795572005509,0,0,0,0,0.926,0.383879272988227,1,0.931,0.398344184202081,1,0.936,0.405323453290971,1,0.932,0.409058723114056,1,0.935,0.409114243309796,1
R04,rho_grid,A10,50,100,-0.5,u_add,u_add,1,full_epa,normal,none,Negative correlation sign robustness,1000,-0.495957764369874,0.00404223563012639,0.0943208448473284,-0.44954223703625,0.0504577629637503,0.100117042019729,0,0,0,0,0.944,0.378660908269107,1,0.952,0.393135783608945,1,0.956,0.400029388726991,1,0.953,0.403374743265505,1,0.954,0.404733784768199,1
E01,error_strength,A10,50,100,0.8197466423,u_add,u_add,0.5,full_epa,normal,none,Half EPA residual-error magnitude,1000,0.816655456595152,-0.00309118570484798,0.0392817532717482,0.786628952575341,-0.0331176897246589,0.0515704518873987,0,0,0,0,0.936,0.153244271246524,1,0.942,0.15991059522335,1,0.949,0.162713092342869,1,0.945,0.165027074522073,1,0.943,0.1639402323488,1
E02,error_strength,A10,50,100,0.8197466423,u_add,u_add,1.5,full_epa,normal,none,One-and-a-half EPA residual-error magnitude,1000,0.806910123115162,-0.0128365191848382,0.0981357684187742,0.605208215079135,-0.214538427220865,0.224699390316651,0.049,0.049,0,0,0.923,0.339171428168643,1,0.925403225806452,0.346279621905534,0.992,0.92741935483871,0.351259075668335,0.992,0.934893184130214,0.35726205694295,0.983,0.945564516129032,0.385512825962216,0.992
E03,error_structure,A10,50,100,0.8197466423,u_add,u_add,1,diagonal,normal,none,Independent channel-error benchmark,1000,0.81914120982606,-0.000605432473940246,0.0457014764410644,0.75664608578709,-0.0631005565129096,0.076431253239171,0,0,0,0,0.946,0.182878790686045,1,0.95,0.189356463979743,1,0.953,0.192656346914514,1,0.953,0.194331946652626,1,0.951,0.193852066475364,1
E04,error_structure,A10,50,100,0.8197466423,u_add,u_add,1,no_cross_pollutant,normal,none,Correlated duplicates but no cross-pollutant error,1000,0.81317546975286,-0.00657117254714014,0.0549169294922645,0.718196710562283,-0.101549931737717,0.112100783585478,0,0,0,0,0.958,0.224112851165793,1,0.963,0.231186017404384,1,0.966,0.235073791003582,1,0.975,0.237424749688376,1,0.968,0.237229541663282,1
D01,distribution,A10,50,100,0.8197466423,u_add,u_add,1,full_epa,t5,none,Heavy-tailed latent concentrations,1000,0.812209592005898,-0.00753705029410198,0.0676077679068394,0.703652396937502,-0.116094245362498,0.132012618035868,0,0,0,0,0.958,0.267839636802646,1,0.96,0.282723595363482,1,0.96,0.287147497021451,1,0.962,0.308823829732835,1,0.965,0.308077084187602,1
D02,distribution,A10,50,100,0.8197466423,u_add,u_add,1,full_epa,skewed,none,Skewed latent concentrations,1000,0.811958041314991,-0.00778860098500948,0.0686617543581652,0.701600207213579,-0.118146435086421,0.135007970558063,0.003,0.003,0,0,0.957,0.261541322267251,1,0.950950950950951,0.27399617177777,0.999,0.952952952952953,0.278215903839837,0.999,0.954954954954955,0.293853905225089,0.999,0.95995995995996,0.293699408010253,0.999
